period,stateid,price
2010,DC,13.35
2010,DE,11.97
2010,ENC,9.08
2010,ESC,8.16
2010,FL,10.58
2010,GA,8.87
2010,HI,25.12
2010,IA,7.66
2010,ID,6.54
2010,IL,9.13
2010,IN,7.67
2010,KS,8.35
2010,KY,6.73
2010,LA,7.8
2010,MA,14.26
2010,MAT,13.6
2010,MD,12.71
2010,ME,12.84
2010,MI,9.88
2010,MN,8.41
2010,MO,7.78
2010,MS,8.59
2010,MT,7.84
2010,MTN,8.59
2010,NC,8.67
2010,ND,7.11
2010,NE,7.52
2010,NEW,14.89
2010,NH,14.84
2010,NJ,14.68
2010,NM,8.4
2010,NV,9.73
2010,NY,16.41
2010,OH,9.14
2010,OK,7.59
2010,OR,7.56
2010,PA,10.31
2010,PACC,10.92
2010,PACN,21.14
2010,RI,14.07
2010,SAT,9.61
2010,SC,8.49
2010,SD,7.82
2010,TN,8.61
2010,TX,9.34
2010,US,9.83
2010,UT,6.94
2010,VA,8.69
2010,VT,13.24
2010,WA,6.66
2010,WI,9.78
2010,WNC,7.93
2010,WSC,8.74
2010,WV,7.45
2010,WY,6.2
2011,AK,16.08
2011,AL,9.1
2011,AR,7.43
2011,AZ,9.71
2011,CA,13.05
2011,CO,9.39
2011,CT,16.35
2011,DC,12.81
2011,DE,11.48
2011,ENC,9.22
2011,ESC,8.58
2011,FL,10.61
2011,GA,9.61
2011,HI,31.59
2011,IA,7.56
2011,ID,6.44
2011,IL,8.97
2011,IN,8.01
2011,KS,8.89
2011,KY,7.17
2011,LA,7.68
2011,MA,14.11
2011,MAT,13.37
2011,MD,11.93
2011,ME,12.58
2011,MI,10.4
2011,MN,8.65
2011,MO,8.32
2011,MS,8.78
2011,MT,8.23
2011,MTN,8.63
2011,NC,8.64
2011,ND,7.5
2011,NE,7.88
2011,NEW,14.49
2011,NH,14.74
2011,NJ,14.3
2011,NM,8.74
2011,NV,8.97
2011,NY,15.89
2011,OH,9.03
2011,OK,7.8
2011,OR,8.04
2011,PA,10.45
2011,PACC,11.01
2011,PACN,25.57
2011,RI,13.04
2011,SAT,9.74
2011,SC,8.8
2011,SD,8.05
2011,TN,9.28
2011,TX,9.0
2011,US,9.9
2011,UT,7.13
2011,VA,8.84
2011,VT,13.8
2011,WA,6.78
2011,WI,10.21
2011,WNC,8.26
2011,WSC,8.54
2011,WV,7.88
2011,WY,6.58
2012,AK,16.33
2012,AL,9.18
2012,AR,7.62
2012,AZ,9.81
2012,CA,13.53
2012,CO,9.39
2012,CT,15.54
2012,DC,11.85
2012,DE,11.06
2012,ENC,9.27
2012,ESC,8.58
2012,FL,10.44
2012,GA,9.37
2012,HI,34.04
2012,IA,7.71
2012,ID,6.92
2012,IL,8.4
2012,IN,8.29
2012,KS,9.33
2012,KY,7.26
2012,LA,6.9
2012,MA,13.79
2012,MAT,12.75
2012,MD,11.28
2012,ME,11.81
2012,MI,10.98
2012,MN,8.86
2012,MO,8.53
2012,MS,8.6
2012,MT,8.25
2012,MTN,8.82
2012,NC,9.15
2012,ND,7.83
2012,NE,8.37
2012,NEW,14.02
2012,NH,14.19
2012,NJ,13.68
2012,NM,8.83
2012,NV,8.95
2012,NY,15.15
2012,OH,9.12
2012,OK,7.54
2012,OR,8.21
2012,PA,9.91
2012,PACC,11.38
2012,PACN,26.96
2012,RI,12.74
2012,SAT,9.73
2012,SC,9.1
2012,SD,8.49
2012,TN,9.27
2012,TX,8.55
2012,US,9.84
2012,UT,7.84
2012,VA,9.07
2012,VT,14.22
2012,WA,6.94
2012,WI,10.28
2012,WNC,8.54
2012,WSC,8.11
2012,WV,8.14
2012,WY,7.19
2013,AK,16.49
2013,AL,9.02
2013,AR,7.93
2013,AZ,10.14
2013,CA,14.3
2013,CO,9.88
2013,CT,15.66
2013,DC,11.85
2013,DE,10.9
2013,ENC,9.4
2013,ESC,8.71
2013,FL,10.22
2013,GA,9.69
2013,HI,33.26
2013,IA,8.07
2013,ID,7.57
2013,IL,8.26
2013,IN,8.73
2013,KS,9.72
2013,KY,7.69
2013,LA,8.04
2013,MA,14.51
2013,MAT,12.85
2013,MD,11.66
2013,ME,11.86
2013,MI,11.21
2013,MN,9.41
2013,MO,9.04
2013,MS,9.11
2013,MT,8.58
2013,MTN,9.18
2013,NC,9.24
2013,ND,8.2
2013,NE,8.74
2013,NEW,14.47
2013,NH,14.3
2013,NJ,13.69
2013,NM,9.25
2013,NV,9.03
2013,NY,15.44
2013,OH,9.2
2013,OK,7.86
2013,OR,8.44
2013,PA,9.81
2013,PACC,11.94
2013,PACN,26.59
2013,RI,13.72
2013,SAT,9.75
2013,SC,9.24
2013,SD,8.86
2013,TN,9.13
2013,TX,8.66
2013,US,10.07
2013,UT,8.15
2013,VA,8.96
2013,VT,14.61
2013,WA,7.09
2013,WI,10.51
2013,WNC,8.98
2013,WSC,8.42
2013,WV,7.91
2013,WY,7.55
2014,AK,17.46
2014,AL,9.27
2014,AR,7.9
2014,AZ,10.18
2014,CA,15.15
2014,CO,10.06
2014,CT,17.05
2014,DC,12.11
2014,DE,11.22
2014,ENC,9.85
2014,ESC,9.08
2014,FL,10.77
2014,GA,10.03
2014,HI,33.43
2014,IA,8.15
2014,ID,7.93
2014,IL,9.36
2014,IN,9.06
2014,KS,10.16
2014,KY,8.15
2014,LA,8.09
2014,MA,15.35
2014,MAT,13.41
2014,MD,12.1
2014,ME,12.65
2014,MI,11.03
2014,MN,9.52
2014,MO,9.11
2014,MS,9.6
2014,MT,8.59
2014,MTN,9.42
2014,NC,9.33
2014,ND,8.41
2014,NE,8.84
2014,NEW,15.45
2014,NH,15.22
2014,NJ,13.95
2014,NM,9.65
2014,NV,9.73
2014,NY,16.25
2014,OH,9.73
2014,OK,8.18
2014,OR,8.68
2014,PA,10.28
2014,PACC,12.55
2014,PACN,27.13
2014,RI,15.41
2014,SAT,10.07
2014,SC,9.67
2014,SD,9.05
2014,TN,9.4
2014,TX,8.94
2014,US,10.44
2014,UT,8.35
2014,VA,9.17
2014,VT,14.57
2014,WA,7.13
2014,WI,10.57
2014,WNC,9.12
2014,WSC,8.65
2014,WV,7.65
2014,WY,7.76
2015,AK,17.59
2015,AL,9.33
2015,AR,8.19
2015,AZ,10.34
2015,CA,15.42
2015,CO,9.94
2015,CT,17.77
2015,DC,12.07
2015,DE,11.17
2015,ENC,9.89
2015,ESC,9.06
2015,FL,10.49
