year,state,price,sales,avg_temp,disaster_count
2005,FL,8.76,224977.011,70.83333333333333,1.0
2005,GA,7.43,132265.452,63.79166666666666,1.0
2005,HI,18.33,10538.91,29.183333333333334,2.0
2005,IA,6.69,42756.808,49.61666666666667,1.0
2005,ID,5.12,21852.681,43.583333333333336,2.0
2005,IL,6.95,144986.215,53.70000000000001,1.0
2005,IN,5.88,106548.91,52.85,2.0
2005,KS,6.55,39024.283,55.89166666666667,2.0
2005,KY,5.01,89351.466,56.78333333333333,1.0
2005,LA,8.03,77389.17,67.50833333333334,2.0
2005,MA,12.18,57227.588,48.39166666666667,1.0
2005,MD,8.13,68365.385,55.16666666666666,1.0
2005,ME,10.57,12362.879,41.833333333333336,2.0
2005,MI,7.23,110444.563,46.04166666666668,1.0
2005,MN,6.61,66019.053,43.06666666666667,2.0
2005,MO,6.13,80940.494,56.23333333333332,1.0
2005,MS,7.54,45901.064,64.27500000000002,1.0
2005,MT,6.72,13478.838,43.05833333333334,1.0
2005,NC,7.19,128335.377,59.425,1.0
2005,ND,5.92,10839.99,42.4,1.0
2005,NE,5.87,26975.944,50.70000000000001,2.0
2005,NH,12.53,11244.628,44.03333333333333,1.0
2005,NJ,10.89,81896.813,53.45,2.0
2005,NM,7.51,20638.951,54.71666666666666,1.0
2005,NV,9.02,32500.63,50.66666666666666,3.0
2005,NY,13.95,150147.571,46.225,2.0
2005,OH,7.08,160176.303,51.79166666666666,2.0
2005,OK,6.85,53707.102,60.84166666666666,1.0
2005,OR,6.34,46419.245,47.708333333333336,1.0
2005,PA,8.27,148272.94,49.49166666666667,2.0
2005,RI,11.97,8049.112,50.09166666666667,1.0
2005,SC,6.72,81254.088,63.06666666666669,1.0
2005,SD,6.6,9811.017,47.34166666666667,2.0
2005,TN,6.31,103905.421,58.74999999999999,2.0
2005,TX,9.14,334258.262,65.96666666666667,1.0
2005,UT,5.92,25000.498,49.33333333333334,3.0
2005,VA,6.64,108849.552,55.933333333333344,2.0
2005,VT,10.95,5883.053,43.41666666666666,0.0
2005,WA,5.87,83425.2,47.333333333333336,1.0
2005,WI,7.48,70335.683,45.06666666666666,1.0
2005,WV,5.15,30152.069,52.75833333333333,2.0
2005,WY,5.16,14137.727,42.84166666666667,1.0
2006,AK,12.84,6182.291,66.44166666666666,3.0
2006,AL,7.07,90677.695,64.19999999999999,0.0
2006,AR,6.99,46635.624,61.991666666666674,1.0
2006,AZ,8.24,73252.776,61.12499999999999,2.0
2006,CA,12.82,262958.528,58.64166666666666,2.0
2006,CO,7.61,49733.698,46.508333333333326,1.0
2006,CT,14.83,31677.453,51.13333333333333,1.0
2006,DE,10.13,11554.672,57.325,1.0
2006,FL,10.45,228219.544,71.35833333333333,2.0
2006,GA,7.63,134834.168,64.55,0.0
2006,HI,20.72,10567.912,26.40000000000001,2.0
2006,IA,7.01,43336.835,50.39166666666666,0.0
2006,ID,4.92,22761.749,44.18333333333334,1.0
2006,IL,7.07,142447.811,53.99999999999999,1.0
2006,IN,6.46,105664.484,53.425,1.0
2006,KS,6.89,39751.302,56.87500000000001,2.0
2006,KY,5.43,88743.435,56.80833333333333,1.0
2006,LA,8.3,77467.748,67.77499999999999,0.0
2006,MA,15.45,55850.09,50.11666666666667,1.0
2006,MD,9.95,63173.143,56.51666666666666,1.0
2006,ME,11.8,12284.768,43.975,1.0
2006,MI,8.14,108017.697,47.01666666666667,0.0
2006,MN,6.98,66769.931,44.38333333333333,2.0
2006,MO,6.3,82015.23,56.75,1.0
2006,MS,8.33,46936.437,64.75833333333334,0.0
2006,MT,6.91,13814.98,44.375,1.0
2006,NC,7.53,126698.979,59.81666666666667,1.0
2006,ND,6.21,11245.238,43.833333333333336,1.0
2006,NE,6.07,27276.292,51.09166666666668,2.0
2006,NH,13.84,11094.343,45.78333333333334,1.0
2006,NJ,11.88,79680.947,54.975,1.0
2006,NM,7.37,21434.957,54.74166666666667,2.0
2006,NV,9.63,34586.26,50.79166666666668,2.0
2006,NY,15.27,142238.019,47.63333333333333,1.0
2006,OH,7.71,153428.844,52.708333333333336,1.0
2006,OK,7.3,54905.314,62.15833333333333,2.0
2006,OR,6.53,48069.265,47.95,2.0
