period,stateid,sales
2008,WI,70121.82701
2008,WNC,290840.12605
2008,WSC,528953.96808
2008,WV,34221.103
2008,WY,16690.24899
2009,AK,6270.17098
2009,AL,82844.60198
2009,AR,43173.10399
2009,AZ,73432.92901
2009,CA,259583.67598
2009,CO,51035.906
2009,CT,29715.764
2009,DC,11434.375
2009,DE,11257.778
2009,ENC,546707.52501
2009,ESC,312700.35698
2009,FL,224750.322
2009,GA,130765.50499
2009,HI,10126.185
2009,IA,43641.19499
2009,ID,22753.779
2009,IL,136688.466
2009,IN,99311.81302
2009,KS,38243.34399
2009,KY,88896.75699
2009,LA,78669.582
2009,MA,54359.198
2009,MAT,359561.68799
2009,MD,62589.143
2009,ME,11282.967
2009,MI,98121.014
2009,MN,64004.463
2009,MO,79897.30002
2009,MS,46049.154
2009,MT,14353.775
2009,MTN,261655.816
2009,NC,127657.97902
2009,ND,12648.57999
2009,NE,28452.194
2009,NEW,119170.564
2009,NH,10698.493
2009,NJ,75779.853
2009,NM,21647.13601
2009,NV,34283.65399
2009,NY,140034.397
2009,OH,146299.79301
2009,OK,54544.58
2009,OR,47566.89702
2009,PA,143747.43799
2009,PACC,397360.57499
2009,PACN,16396.35598
2009,RI,7617.629
2009,SAT,783606.373
2009,SC,76417.47899
2009,SD,11010.118
2009,TN,94909.84401
2009,TX,345351.41997
2009,US,3596795.13389
2009,UT,27586.69999
2009,VA,108462.463
2009,VT,5496.513
2009,WA,90210.00198
2009,WI,66286.43898
2009,WNC,277897.19399
2009,WSC,521738.68596
2009,WV,30271.329
2009,WY,16561.93701
2010,AK,6247.03802
2010,AL,90862.645
2010,AR,48194.285
2010,AZ,72833.03
2010,CA,258530.892
2010,CO,52917.786
2010,CT,30391.766
2010,DC,11876.995
2010,DE,11605.932
2010,ENC,577302.10399
2010,ESC,337640.774
2010,FL,231209.61399
2010,GA,140671.57999
2010,HI,10016.509
2010,IA,45445.26901
2010,ID,22797.66803
2010,IL,144760.674
2010,IN,105994.37597
2010,KS,40420.675
2010,KY,93569.42598
2010,LA,85079.69198
2010,MA,57123.422
2010,MAT,372766.96803
2010,MD,65335.498
2010,ME,11531.568
2010,MI,103649.21904
2010,MN,67799.70606
2010,MO,86085.11697
2010,MS,49687.166
2010,MT,13771.45301
2010,MTN,263678.33504
2010,NC,136414.94702
2010,ND,12956.26301
2010,NE,29849.46004
2010,NEW,123330.89001
2010,NH,10890.074
2010,NJ,79179.42701
2010,NM,22428.34401
2010,NV,33772.595
2010,NY,144623.57302
2010,OH,154145.41794
2010,OK,57845.98002
2010,OR,46025.94503
2010,PA,148963.968
2010,PACC,394936.80705
2010,PACN,16263.54703
2010,RI,7799.227
2010,SAT,825431.79698
2010,SC,82479.29299
2010,SD,11356.14901
2010,TN,103521.53701
2010,TX,358457.54999
2010,US,3754841.36823
2010,UT,28044.00099
2010,VA,113806.135
2010,VT,5594.83302
2010,WA,90379.97002
2010,WI,68752.41704
2010,WNC,293912.6391
2010,WSC,549577.507
2010,WV,32031.803
2010,WY,17113.45801
2011,AK,6319.53995
2011,AL,88995.36899
2011,AR,47927.829
2011,AZ,74943.645
2011,CA,261941.70001
2011,CO,53458.28502
2011,CT,29858.993
2011,DC,11562.055
2011,DE,11483.29599
2011,ENC,577115.19603
2011,ESC,328604.59599
2011,FL,225090.42199
2011,GA,136371.149
2011,HI,9961.653
2011,IA,45654.87701
2011,ID,23271.724
2011,IL,142885.56702
2011,IN,105818.13897
2011,KS,40760.39897
2011,KY,89538.341
2011,LA,86369.08101
2011,MA,55569.912
2011,MAT,369663.60904
2011,MD,63599.711
2011,ME,11415.345
2011,MI,105053.558
2011,MN,68532.708
2011,MO,84254.84101
2011,MS,49337.557
2011,MT,13788.081
2011,MTN,268696.58704
2011,NC,131084.93302
2011,ND,13737.01599
2011,NE,29676.08402
2011,NEW,120995.46099
2011,NH,10868.60699
2011,NJ,76859.76201
2011,NM,23041.66501
2011,NV,33916.479
2011,NY,144046.60902
2011,OH,154746.31002
2011,OK,59846.79402
2011,OR,47171.44599
2011,PA,148757.23801
2011,PACC,402838.06299
2011,PACN,16281.19295
2011,RI,7732.42
2011,SAT,801147.12998
2011,SC,80488.54601
2011,SD,11679.60002
2011,TN,100733.329
2011,TX,376065.11599
2011,US,3749846.18003
2011,UT,28858.94601
2011,VA,110228.26499
2011,VT,5550.184
2011,WA,93724.917
2011,WI,68611.62202
2011,WNC,294295.52501
2011,WSC,570208.82002
2011,WV,31238.753
2011,WY,17417.76201
2012,AK,6416.41098
2012,AL,86182.54801
2012,AR,46859.56698
2012,AZ,75063.343
2012,CA,259538.03802
2012,CO,53685.29703
2012,CT,29492.33801
2012,DC,11258.845
2012,DE,11519.33101
2012,ENC,574808.57391
2012,ESC,320000.18496
2012,FL,220674.33302
2012,GA,130978.87202
2012,HI,9639.157
2012,IA,45709.09996
2012,ID,23711.859
2012,IL,143540.004
2012,IN,105173.42503
2012,KS,40293.47599
2012,KY,89048.48998
2012,LA,84730.743
2012,MA,55313.32401
2012,MAT,362925.309
2012,MD,61813.55201
2012,ME,11561.059
2012,MI,104818.19095
2012,MN,67988.53489
2012,MO,82435.35898
2012,MS,48387.675
2012,MT,13863.38298
2012,MTN,271377.08999
2012,NC,128084.893
2012,ND,14716.95598
2012,NE,30827.93898
2012,NEW,120456.08001
2012,NH,10870.261
2012,NJ,75052.91399
2012,NM,23178.568
2012,NV,35179.91801
2012,NY,143162.66801
2012,OH,152456.86402
2012,OK,59340.62402
2012,OR,46688.85597
2012,PA,144709.72701
2012,PACC,398563.33495
2012,PACN,16055.56798
2012,RI,7708.334
2012,SAT,780723.00504
2012,SC,77780.953
