state,declarationDate,incidentType,incidentEndDate,fyDeclared,region
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
OR,2020-09-12T00:00:00.000Z,Fire,2020-09-29T00:00:00.000Z,2020,10
OR,2020-09-10T00:00:00.000Z,Fire,2020-09-15T00:00:00.000Z,2020,10
OR,2020-09-10T00:00:00.000Z,Fire,2020-09-15T00:00:00.000Z,2020,10
OR,2020-09-10T00:00:00.000Z,Fire,2020-10-06T00:00:00.000Z,2020,10
OR,2020-09-10T00:00:00.000Z,Fire,2020-11-03T00:00:00.000Z,2020,10
OR,2020-09-10T00:00:00.000Z,Fire,2020-09-14T00:00:00.000Z,2020,10
OR,2020-09-09T00:00:00.000Z,Fire,2020-10-14T00:00:00.000Z,2020,10
OR,2020-09-09T00:00:00.000Z,Fire,2020-10-15T00:00:00.000Z,2020,10
OR,2020-09-09T00:00:00.000Z,Fire,2020-10-15T00:00:00.000Z,2020,10
OR,2020-09-09T00:00:00.000Z,Fire,2020-09-15T00:00:00.000Z,2020,10
OR,2020-09-09T00:00:00.000Z,Fire,2020-09-22T00:00:00.000Z,2020,10
WA,2020-09-09T00:00:00.000Z,Fire,2020-09-15T00:00:00.000Z,2020,10
WA,2020-09-09T00:00:00.000Z,Fire,2020-09-11T00:00:00.000Z,2020,10
OR,2020-09-08T00:00:00.000Z,Fire,2020-09-14T00:00:00.000Z,2020,10
OR,2020-09-08T00:00:00.000Z,Fire,2020-10-03T00:00:00.000Z,2020,10
OR,2020-09-08T00:00:00.000Z,Fire,2020-10-15T00:00:00.000Z,2020,10
OR,2020-09-08T00:00:00.000Z,Fire,2020-10-15T00:00:00.000Z,2020,10
OR,2020-09-08T00:00:00.000Z,Fire,2020-10-15T00:00:00.000Z,2020,10
OR,2020-09-08T00:00:00.000Z,Fire,2020-10-15T00:00:00.000Z,2020,10
OR,2020-09-08T00:00:00.000Z,Fire,2020-10-15T00:00:00.000Z,2020,10
WA,2020-09-08T00:00:00.000Z,Fire,2020-09-15T00:00:00.000Z,2020,10
WA,2020-09-08T00:00:00.000Z,Fire,2020-09-15T00:00:00.000Z,2020,10
OR,2020-09-08T00:00:00.000Z,Fire,2020-09-23T00:00:00.000Z,2020,10
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
WA,2020-09-07T00:00:00.000Z,Fire,2020-09-15T00:00:00.000Z,2020,10
WA,2020-09-07T00:00:00.000Z,Fire,2020-09-19T00:00:00.000Z,2020,10
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
WA,2020-09-07T00:00:00.000Z,Fire,2020-09-19T00:00:00.000Z,2020,10
WA,2020-09-07T00:00:00.000Z,Fire,2020-09-19T00:00:00.000Z,2020,10
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
