period,stateid,stateDescription,sectorid,sectorName,sales,sales-units
2004,PACC,Pacific Contiguous,ALL,all sectors,377644.029,million kilowatt hours
2004,PACN,Pacific Noncontiguous,ALL,all sectors,16520.004,million kilowatt hours
2004,RI,Rhode Island,ALL,all sectors,7887.575,million kilowatt hours
2004,SAT,South Atlantic,ALL,all sectors,778025.91,million kilowatt hours
2004,SC,South Carolina,ALL,all sectors,79908.34,million kilowatt hours
2004,SD,South Dakota,ALL,all sectors,9213.844,million kilowatt hours
2004,TN,Tennessee,ALL,all sectors,99660.665,million kilowatt hours
2004,TX,Texas,ALL,all sectors,320614.84,million kilowatt hours
2004,US,U.S. Total,ALL,all sectors,3547479.483,million kilowatt hours
2004,UT,Utah,ALL,all sectors,24511.704,million kilowatt hours
2004,VA,Virginia,ALL,all sectors,105424.173,million kilowatt hours
2004,VT,Vermont,ALL,all sectors,5663.772,million kilowatt hours
2004,WA,Washington,ALL,all sectors,79981.608,million kilowatt hours
2004,WI,Wisconsin,ALL,all sectors,67975.709,million kilowatt hours
2004,WNC,West North Central,ALL,all sectors,261030.098,million kilowatt hours
2004,WSC,West South Central,ALL,all sectors,494966.354,million kilowatt hours
2004,WV,West Virginia,ALL,all sectors,28918.612,million kilowatt hours
2004,WY,Wyoming,ALL,all sectors,13539.513,million kilowatt hours
2005,AK,Alaska,ALL,all sectors,5912.571,million kilowatt hours
2005,AL,Alabama,ALL,all sectors,89201.62,million kilowatt hours
2005,AR,Arkansas,ALL,all sectors,46164.923,million kilowatt hours
2005,AZ,Arizona,ALL,all sectors,69390.686,million kilowatt hours
2005,CA,California,ALL,all sectors,254249.507,million kilowatt hours
2005,CO,Colorado,ALL,all sectors,48353.236,million kilowatt hours
2005,CT,Connecticut,ALL,all sectors,33095.029,million kilowatt hours
2005,DC,District of Columbia,ALL,all sectors,11816.207,million kilowatt hours
2005,DE,Delaware,ALL,all sectors,12136.788,million kilowatt hours
2005,ENC,East North Central,ALL,all sectors,592491.674,million kilowatt hours
2005,ESC,East South Central,ALL,all sectors,328359.571,million kilowatt hours
2005,FL,Florida,ALL,all sectors,224977.011,million kilowatt hours
2005,GA,Georgia,ALL,all sectors,132265.452,million kilowatt hours
2005,HI,Hawaii,ALL,all sectors,10538.91,million kilowatt hours
2005,IA,Iowa,ALL,all sectors,42756.808,million kilowatt hours
2005,ID,Idaho,ALL,all sectors,21852.681,million kilowatt hours
2005,IL,Illinois,ALL,all sectors,144986.215,million kilowatt hours
2005,IN,Indiana,ALL,all sectors,106548.91,million kilowatt hours
2005,KS,Kansas,ALL,all sectors,39024.283,million kilowatt hours
2005,KY,Kentucky,ALL,all sectors,89351.466,million kilowatt hours
2005,LA,Louisiana,ALL,all sectors,77389.17,million kilowatt hours
2005,MA,Massachusetts,ALL,all sectors,57227.588,million kilowatt hours
2005,MAT,Middle Atlantic,ALL,all sectors,380317.324,million kilowatt hours
2005,MD,Maryland,ALL,all sectors,68365.385,million kilowatt hours
2005,ME,Maine,ALL,all sectors,12362.879,million kilowatt hours
2005,MI,Michigan,ALL,all sectors,110444.563,million kilowatt hours
2005,MN,Minnesota,ALL,all sectors,66019.053,million kilowatt hours
2005,MO,Missouri,ALL,all sectors,80940.494,million kilowatt hours
2005,MS,Mississippi,ALL,all sectors,45901.064,million kilowatt hours
2005,MT,Montana,ALL,all sectors,13478.838,million kilowatt hours
2005,MTN,Mountain,ALL,all sectors,245353.247,million kilowatt hours
2005,NC,North Carolina,ALL,all sectors,128335.377,million kilowatt hours
2005,ND,North Dakota,ALL,all sectors,10839.99,million kilowatt hours
2005,NE,Nebraska,ALL,all sectors,26975.944,million kilowatt hours
2005,NEW,New England,ALL,all sectors,127862.289,million kilowatt hours
2005,NH,New Hampshire,ALL,all sectors,11244.628,million kilowatt hours
2005,NJ,New Jersey,ALL,all sectors,81896.813,million kilowatt hours
2005,NM,New Mexico,ALL,all sectors,20638.951,million kilowatt hours
2005,NV,Nevada,ALL,all sectors,32500.63,million kilowatt hours
2005,NY,New York,ALL,all sectors,150147.571,million kilowatt hours
2005,OH,Ohio,ALL,all sectors,160176.303,million kilowatt hours
2005,OK,Oklahoma,ALL,all sectors,53707.102,million kilowatt hours
2005,OR,Oregon,ALL,all sectors,46419.245,million kilowatt hours
2005,PA,Pennsylvania,ALL,all sectors,148272.94,million kilowatt hours
2005,PACC,Pacific Contiguous,ALL,all sectors,384093.952,million kilowatt hours
2005,PACN,Pacific Noncontiguous,ALL,all sectors,16451.481,million kilowatt hours
2005,RI,Rhode Island,ALL,all sectors,8049.112,million kilowatt hours
2005,SAT,South Atlantic,ALL,all sectors,798151.929,million kilowatt hours
2005,SC,South Carolina,ALL,all sectors,81254.088,million kilowatt hours
2005,SD,South Dakota,ALL,all sectors,9811.017,million kilowatt hours
2005,TN,Tennessee,ALL,all sectors,103905.421,million kilowatt hours
2005,TX,Texas,ALL,all sectors,334258.262,million kilowatt hours
2005,US,U.S. Total,ALL,all sectors,3660968.513,million kilowatt hours
2005,UT,Utah,ALL,all sectors,25000.498,million kilowatt hours
2005,VA,Virginia,ALL,all sectors,108849.552,million kilowatt hours
2005,VT,Vermont,ALL,all sectors,5883.053,million kilowatt hours
2005,WA,Washington,ALL,all sectors,83425.2,million kilowatt hours
2005,WI,Wisconsin,ALL,all sectors,70335.683,million kilowatt hours
2005,WNC,West North Central,ALL,all sectors,276367.589,million kilowatt hours
